file_path,line_number,type,severity,description
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1618,BUG,MINOR,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1628,BUG,MINOR,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1649,BUG,MINOR,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1654,BUG,MINOR,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1659,BUG,MINOR,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1669,BUG,MINOR,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1674,BUG,MINOR,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1704,BUG,MINOR,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1709,BUG,MINOR,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1717,BUG,MINOR,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1730,BUG,MINOR,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1736,BUG,MINOR,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1741,BUG,MINOR,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
org.avaje:java11-oss:ebean-core/src/main/java/io/ebeaninternal/server/core/DefaultServer.java,1755,BUG,MINOR,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
