package,file_path,file_frequency
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/package.html,6
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/AnnotationProcessor6.java,6
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/package.html,6
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/package.html,6
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/log/package.html,6
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/package.html,6
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/package.html,6
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/package.html,6
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/Configurations.java,6
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/ant/package.html,6
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/meta/package.html,6
openjpa,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/UniqueResultObjectProvider.java,6
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/osgi/package.html,6
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/meta/package.html,6
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/package.html,6
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/package.html,6
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/package.html,6
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/package.html,6
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory.java,6
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/package.html,6
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java,6
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/util/SourceCode.java,6
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/util/package.html,6
openjpa,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedSQLStoreQuery.java,6
openjpa,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedStoreQuery.java,6
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/event/package.html,6
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/util/package.html,6
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,6
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultFetchGroupQuery.java,6
hibernate,hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,6
hibernate,hibernate-core/src/main/java/org/hibernate/internal/StatelessSessionImpl.java,5
hibernate,hibernate-core/src/main/java/org/hibernate/event/internal/DefaultLoadEventListener.java,5
hibernate,hibernate-core/src/main/java/org/hibernate/type/spi/TypeConfiguration.java,5
sqlalchemy,test/dialect/postgresql/test_reflection.py,5
hibernate,hibernate-core/src/main/java/org/hibernate/type/descriptor/DateTimeUtils.java,5
hibernate,hibernate-core/src/main/java/org/hibernate/type/EntityType.java,5
ebean,kotlin-querybean-generator/src/main/java/io/ebean/querybean/generator/ProcessingContext.java,5
ebean,querybean-generator/src/main/java/io/ebean/querybean/generator/ProcessingContext.java,5
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/orm/junit/ServiceRegistryExtension.java,5
sqlalchemy,lib/sqlalchemy/dialects/postgresql/psycopg2.py,5
sqlalchemy,lib/sqlalchemy/dialects/postgresql/base.py,5
hibernate,hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,5
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/DefaultExpressionList.java,5
ebean,ebean-core/src/main/java/io/ebeaninternal/server/expression/JunctionExpression.java,5
