file_path,line_number,type,severity,description
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelpEmbedded.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryFetchSingleAttribute.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/SqlTreeLoadBean.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultRelationalQueryEngine.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelpEmbedded.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/dto/DtoQueryPlanConSetter.java,25,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQuery.java,511,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultRelationalQueryEngine.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryFetchSingleAttribute.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/dto/DtoMetaConstructor.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelpEmbedded.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelpEmbedded.java,Various,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/SqlTreeLoadBean.java,349,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQuery.java,527,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/dto/DtoQueryPlanConPlus.java,25,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/SqlTreeLoadBean.java,125,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryIteratorWithBuffer.java,39,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/dto/DtoQueryPlanConPlus.java,25,Security,Low,Type: Cleartext sensitive data in a file | Category: Low impact security
/ebean-core/src/main/java/io/ebeaninternal/server/persist/DefaultPersister.java,1176,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/persist/DefaultPersister.java,Various,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryEngine.java,Various,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelpRefInherit.java,Various,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelp.java,Various,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/persist/DefaultPersister.java,371,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelp.java,Various,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/persist/SaveManyBeans.java,183,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/util/Md5.java,13,Security,Medium,Type: Risky cryptographic hashing function | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/persist/dml/DmlBeanPersister.java,Various,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelpRefInherit.java,Various,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryEngine.java,Various,Security,Medium,Type: Cleartext sensitive data in a database | Category: Medium impact security
/ebean-core/src/main/java/io/ebeaninternal/server/type/EnumToDbIntegerMap.java,65,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/parse/DeployCreateProperties.java,136,Quality,Medium,Type: Dereference after null check | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryFetchSingleAttribute.java,88,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/core/OrmQueryRequest.java,370,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanDescriptorDraftHelp.java,50,Quality,Medium,Type: Explicit null dereferenced | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/persist/dml/InsertHandler.java,125,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-test/src/main/java/io/ebean/test/config/AutoConfigureForTesting.java,47,Quality,Medium,Type: Dereference after null check | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/core/PersistDeferredRelationship.java,48,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultOrmQueryEngine.java,138,Quality,Medium,Type: Dereference after null check | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/core/PersistRequestBean.java,271,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/persist/dml/GeneratedProperties.java,74,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/el/ElComparatorProperty.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/persist/BatchedPstmt.java,180,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/core/OrmQueryRequest.java,360,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/type/DefaultTypeManager.java,657,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanPropertyAssocMany.java,1102,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/persist/SaveManyBeans.java,176,Quality,Medium,Type: Explicit null dereferenced | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/core/OrmQueryRequest.java,387,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/persist/DefaultPersister.java,796,Quality,Medium,Type: Explicit null dereferenced | Category: Null pointer dereferences
/ebean-core/src/main/java/io/ebeaninternal/server/deploy/DynamicPropertyAggregationFormulaMTO.java,39,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/querybean-generator/src/main/java/io/ebean/querybean/generator/ProcessingContext.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
