package,file_path,file_frequency
hibernate,hibernate-core/src/main/java/org/hibernate/query/sqm/sql/BaseSqmToSqlAstConverter.java,4
openjpa,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualTypeExpression.java,4
openjpa,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/XMLMetaDataParser.java,4
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/XMLFormatter.java,4
hibernate,hibernate-core/src/main/java/org/hibernate/internal/util/collections/BoundedConcurrentHashMap.java,4
openjpa,openjpa-examples/openbooks/src/main/java/openbook/util/PropertyHelper.java,4
hibernate,hibernate-core/src/main/java/org/hibernate/dialect/MySQLServerConfiguration.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheStoreManager.java,4
openjpa,openjpa-examples/openbooks/src/main/java/openbook/tools/converter/SourceRenderer.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancer.java,4
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/common/connections/BaseTransactionIsolationConfigTest.java,4
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/AssocOneHelpEmbedded.java,4
openjpa,openjpa-examples/openbooks/src/main/java/openbook/domain/Book.java,4
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/PersistRequestBean.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/LocalManagedRuntime.java,4
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/orm/junit/AbstractEntityManagerFactoryScope.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,4
openjpa,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/Finder.java,4
hibernate,tooling/metamodel-generator/src/main/java/org/hibernate/processor/validation/ProcessorSessionFactory.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FetchGroup.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/VerticalClassStrategy.java,4
hibernate,hibernate-core/src/main/java/org/hibernate/persister/collection/AbstractCollectionPersister.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java,4
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JESTContext.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/StoredProcedureQuery.java,4
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/DefaultPersister.java,4
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/meta/InterfaceImplGenerator.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java,4
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java,4
hibernate,hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/boot/model/convert/internal/AutoApplicableConverterDescriptorStandardImpl.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/ToOneAttributeMapping.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/boot/model/internal/PropertyBinder.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/query/sql/internal/ResultSetMappingProcessor.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/boot/model/internal/CollectionBinder.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/engine/jdbc/mutation/internal/MutationExecutorStandard.java,3
ebean,ebean-core/src/main/java/io/ebeaninternal/server/idgen/UuidV1IdGenerator.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/type/descriptor/jdbc/TimestampUtcAsJdbcTimestampJdbcType.java,3
hibernate,hibernate-spatial/src/main/java/org/hibernate/spatial/dialect/postgis/AbstractPostGISJdbcType.java,3
ebean,ebean-core/src/main/java/io/ebeaninternal/server/profile/DTimeMetricStats.java,3
ponyorm,pony/orm/dbproviders/oracle.py,3
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/BeanDescriptor.java,3
ebean,ebean-core/src/main/java/io/ebeaninternal/server/deploy/id/IdBinderEmbedded.java,3
hibernate,hibernate-core/src/main/java/org/hibernate/type/descriptor/jdbc/TimeUtcAsJdbcTimeJdbcType.java,3
ebean,ebean-core/src/main/java/io/ebeaninternal/server/core/OrmQueryRequest.java,3
sqlalchemy,test/ext/asyncio/test_engine_py3k.py,3
sqlalchemy,test/sql/test_operators.py,3
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/QueryCommand.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingPreparedStatementManagerImpl.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConstraintUpdateManager.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,2
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JSONObjectFormatter.java,2
hibernate,hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/MultiDynamicComponentMapper.java,2
hibernate,hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/MultiPropertyMapper.java,2
hibernate,hibernate-core/src/main/java/org/hibernate/mapping/Any.java,2
openjpa,openjpa-junit5/src/main/java/org/apache/openjpa/junit5/internal/OpenJPADirectoriesEnhancer.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifier.java,2
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/conf/CacheMarshallersValue.java,2
hibernate,hibernate-core/src/main/java/org/hibernate/mapping/BasicValue.java,2
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/conf/MetaDataRepositoryValue.java,2
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/AbstractDataCache.java,2
hibernate,hibernate-proxool/src/main/java/org/hibernate/proxool/internal/ProxoolConnectionProvider.java,2
openjpa,openjpa-examples/simple/src/main/java/embeddables/Main.java,2
openjpa,openjpa-examples/openbooks/src/main/java/openbook/tools/util/TextProcessingUtility.java,2
openjpa,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/FileScanner.java,2
hibernate,hibernate-core/src/main/java/org/hibernate/event/internal/DefaultLoadEventListener.java,2
openjpa,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/PowerPointViewer.java,2
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/event/DynamicTCPRemoteCommitProvider.java,2
hibernate,tooling/hibernate-gradle-plugin/src/main/java/org/hibernate/orm/tooling/gradle/enhance/EnhancementHelper.java,2
openjpa,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/PreparedQueryViewer.java,2
openjpa,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/SwingHelper.java,2
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/util/TestPathHelper.java,2
openjpa,openjpa-examples/openbooks/src/main/java/openbook/client/Demo.java,2
openjpa,openjpa-examples/openbooks/src/main/java/openbook/tools/CommandProcessor.java,2
hibernate,hibernate-core/src/main/java/org/hibernate/id/enhanced/PooledOptimizer.java,2
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/bytecode/enhancement/BytecodeEnhancerRunner.java,2
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCClassFileTransformer.java,2
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/InstrumentationFactory.java,2
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/ApplicationIdTool.java,2
openjpa,openjpa-kernel/src/main/java/org/apache/openjpa/ee/OSGiManagedRuntime.java,2
hibernate,hibernate-core/src/main/java/org/hibernate/mapping/Constraint.java,2
openjpa,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JESTServlet.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/H2Dictionary.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,2
hibernate,hibernate-core/src/main/java/org/hibernate/query/results/Builders.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DerbyDictionary.java,2
openjpa,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/UnaryOp.java,2
