file_path,line_number,type,severity,description
/hibernate-core/src/main/java/org/hibernate/engine/spi/ActionQueue.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/type/spi/TypeConfiguration.java,367,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,1585,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/jaxb/hbm/transform/HbmXmlTransformer.java,1255,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/jpa/boot/internal/EntityManagerFactoryBuilderImpl.java,1580,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/sql/ast/spi/AbstractSqlAstTranslator.java,7613,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-envers/src/main/java/org/hibernate/envers/event/spi/BaseEnversCollectionEventListener.java,219,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/event/internal/DefaultEvictEventListener.java,67,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,5380,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/tooling/hibernate-gradle-plugin/src/main/java/org/hibernate/orm/tooling/gradle/enhance/EnhancementHelper.java,60,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/internal/CollectionBinder.java,2036,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/query/sqm/sql/BaseSqmToSqlAstConverter.java,6646,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/cache/spi/entry/StructuredCacheEntry.java,72,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/mapping/BasicValue.java,846,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/convert/internal/AutoApplicableConverterDescriptorStandardImpl.java,93,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/type/descriptor/java/JdbcDateJavaType.java,235,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/tuple/entity/CompositeGeneratorBuilder.java,166,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/archive/scan/spi/AbstractScannerImpl.java,63,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/internal/MetadataBuilderImpl.java,496,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/tooling/metamodel-generator/src/test/java/org/hibernate/processor/test/util/TestUtil.java,210,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-spatial/src/main/java/org/hibernate/spatial/dialect/postgis/AbstractPostGISJdbcType.java,134,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/sql/results/graph/instantiation/internal/DynamicInstantiationAssemblerInjectionImpl.java,63,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/AbstractCollectionMapper.java,189,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/persister/collection/AbstractCollectionPersister.java,675,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/tool/schema/extract/internal/AbstractInformationExtractorImpl.java,1312,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/type/AnyType.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/tool/schema/internal/exec/AbstractScriptSourceInput.java,34,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/query/internal/QueryParameterBindingsImpl.java,205,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/query/sql/internal/SQLQueryParser.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
