package,file_path,file_frequency
ebean,platforms/h2/src/main/java/io/ebean/platform/h2/H2HistoryTrigger.java,1
hibernate,hibernate-core/src/main/java/org/hibernate/boot/model/naming/NamingHelper.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/idclass/IdClassWithLazyManyToOneTest.java,1
hibernate,hibernate-testing/src/main/java/org/hibernate/testing/cleaner/H2DatabaseCleaner.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/annotations/join/JoinTest.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/batch/BatchAndResultStreamTest.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/collection/map/PersistentMapTest.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/component/basic/ComponentTest.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/dialect/functional/MariaDBExtractSequenceMetadataTest.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/exception/SQLExceptionConversionTest.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/idclass/IdClassWithEagerManyToOneTest.java,1
hibernate,hibernate-core/src/test/java/org/hibernate/orm/test/idclass/IdClassTest.java,1
hibernate,hibernate-core/src/main/java/org/hibernate/mapping/Constraint.java,1
